state,totalAllocated,totalExpenditure,utilizationPercentage,mpCount,totalMPs,totalWorksCompleted,completedWorksCount,recommendedWorksCount
"Nagaland","353563957.11","300019000","84.85565170509129","2","2","94","94","36"
"Sikkim","299003923.11","189942157","63.5249715202307","2","2","11","11","225"
"Arunachal Pradesh","294000000","185045715","62.94071938775511","2","2","95","95","195"
"Mizoram","147000000","90456729","61.53518979591836","1","1","24","24","209"
"Meghalaya","294000000","159735000","54.33163265306122","3","3","114","114","445"
"Manipur","343000000","165394855","48.220074344023324","3","3","15","15","66"
"Uttar Pradesh","17767101967.56","8432307135.89","47.460228186263","111","111","7964","7964","15023"
"Jharkhand","2931597994.9300003","1292746247","44.09698223411658","18","18","672","672","4638"
"Bihar","8513486680.34","3580032567","42.05130872251539","55","55","3571","3571","3754"
"Tamil Nadu","8322407279.57","3376481288","40.57096912678918","56","56","2403","2403","4245"
"Himachal Pradesh","1033386998.44","416978979.03999996","40.350708850553666","7","7","372","372","2060"
"Punjab","3137546001.45","1248570523.67","39.79449299207023","19","19","1667","1667","2995"
"Madhya Pradesh","5828218108.370001","2230811988.12","38.27605533355544","38","38","1968","1968","6370"
"Chhattisgarh","2445805009.3","925146487.5","37.82584809427555","16","16","927","927","1669"
"Assam","2794428071.33","811729106.44","29.04813026923466","21","21","102","102","2558"
"West Bengal","7787833259.29","2170127218.38","27.86560967765052","52","52","1292","1292","4689"
"Karnataka","6042495426.22","1598677857","26.457245628402298","38","38","896","896","4704"
"Rajasthan","4992829373.26","1306316175.1100001","26.163845736571982","32","32","860","860","2881"
"Tripura","416500000","103554631","24.863056662665066","3","3","5","5","135"
"Gujarat","4949467459.47","1229503718","24.841131456426584","33","33","2315","2315","6218"
"Lakshadweep","153942460.41","36505529","23.71374921693055","1","1","1","1","26"
"Puducherry","502250828.6","118279140","23.549814806617125","2","2","20","20","148"
"Uttarakhand","1304873590.51","298609269","22.884153006981375","8","8","140","140","1183"
"Telangana","3870044607.5200005","875563376","22.624115864159975","23","23","986","986","4977"
"Jammu And Kashmir","1225063957.1100001","276160661","22.54255048458692","10","10","408","408","738"
"Andhra Pradesh","5324772701.2","1143175139","21.468994136451535","33","33","931","931","3032"
"Goa","465500000","94358705.99000001","20.270398708915145","3","3","28","28","226"
"Kerala","5203830627.88","994739910","19.115532021172818","31","31","826","826","4606"
"Haryana","2117454264","392442717","18.533704537195142","15","15","348","348","1716"
"Maharashtra","9375796648.27","1719634774","18.341212363189456","64","64","502","502","5039"
"Odisha","4436627382.71","625179887","14.091331839955531","29","29","994","994","5508"
"Delhi","1682994118.1100001","166585226","9.898146654670128","11","11","40","40","658"
"Chandigarh","325351443.75","31946280","9.819006681447991","2","2","28","28","103"
"Andaman And Nicobar Islands","147000000","12651317","8.606338095238094","1","1","0","0","24"
"Ladakh","161114542","6009392","3.729888019667399","1","1","0","0","55"
"The Dadra And Nagar Haveli And Daman And Diu","392063957","0","0","2","2","0","0","98"