_id,mpName,house,state,constituency,allocatedAmount,totalExpenditure,completedWorksCount,utilizationPercentage
"6a5fa6dcd334337a039ce1bb","D Ravikumar","Lok Sabha","Tamil Nadu","VILUPPURAM","72417768","72417768","192","100"
"6a5fa6dcd334337a039ce1c5","Dileshwar Kamait","Lok Sabha","Bihar","SUPAUL","55691994","55691994","48","100"
"6a5fa6dcd334337a039ce1d2","Dr Mohammad Jawed (17th Lok Sabha)","Lok Sabha","Bihar","KISHANGANJ","96394728","96394728","124","100"
"6a5fa6dcd334337a039ce244","Ms Mahua Moitra(17th Lok Sabha)","Lok Sabha","West Bengal","KRISHNANAGAR","44264088","44264088","27","100"
"6a5fa6dcd334337a039ce28d","Rajnath Singh(17th Lok Sabha)","Lok Sabha","Uttar Pradesh","LUCKNOW","41255160","41255160","42","100"
"6a5fa6dfd334337a039ce349","Smt Riti Pathak (17th Lok Sabha)","Lok Sabha","Madhya Pradesh","SIDHI","2229890","2229900","10","100"
"6a5fa6dfd334337a039ce366","Sunil Kumar Pintu","Lok Sabha","Bihar","SITAMARHI","96767761","96767761","179","100"
"6a5fa6dcd334337a039ce23e","Mohammad Sadique(17th Lok Sabha)","Lok Sabha","Punjab","FARIDKOT","70616907","70616601","222","99.99956667600863"
"6a5fa6dcd334337a039ce1c2","Dhal Singh Bisen","Lok Sabha","Madhya Pradesh","BALAGHAT","48992666.9","48948355","301","99.90955401531735"
"6a5fa6dcd334337a039ce289","Rajesh Verma","Lok Sabha","Uttar Pradesh","SITAPUR","73563957.11","73457235","22","99.85492608854575"